State,Year,Total Population
Illinois,1976,11262116
Indiana,1976,5324346
Iowa,1976,2865154
Kansas,1976,2270018
Kentucky,1976,3500262
Louisiana,1976,3925320
Maine,1976,1078459
Maryland,1976,4145418
Massachusetts,1976,5686307
Michigan,1976,9049495
Minnesota,1976,3912964
Mississippi,1976,2410147
Missouri,1976,4770410
Montana,1976,750610
Nebraska,1976,1528909
Nevada,1976,644163
New Hampshire,1976,839107
New Jersey,1976,7284019
New Mexico,1976,1188383
New York,1976,17811095
North Carolina,1976,5557104
North Dakota,1976,638407
Ohio,1976,10660209
Oklahoma,1976,2794100
Oregon,1976,2348654
Pennsylvania,1976,11777648
Rhode Island,1976,940545
South Carolina,1976,2925144
South Dakota,1976,678058
Tennessee,1976,4294743
Texas,1976,12810928
Utah,1976,1265131
Vermont,1976,480110
Virginia,1976,5098778
Washington,1976,3655862
West Virginia,1976,1860476
Wisconsin,1976,4538110
Wyoming,1976,392584
Alabama,1977,3751992
Alaska,1977,396618
Arizona,1977,2411563
Arkansas,1977,2183868
California,1977,22159087
Colorado,1977,2674813
Connecticut,1977,3057893
Delaware,1977,590191
District of Columbia,1977,675774
Florida,1977,8794001
Georgia,1977,5176493
Hawaii,1977,910872
Idaho,1977,876050
Illinois,1977,11303613
Indiana,1977,5355692
Iowa,1977,2873735
Kansas,1977,2287917
Kentucky,1977,3543475
Louisiana,1977,3987826
Maine,1977,1093206
Maryland,1977,4166292
Massachusetts,1977,5677985
Michigan,1977,9085487
Minnesota,1977,3933335
Mississippi,1977,2438561
Missouri,1977,4789479
Montana,1977,763127
Nebraska,1977,1533497
Nevada,1977,675206
New Hampshire,1977,863552
New Jersey,1977,7278528
New Mexico,1977,1217910
New York,1977,17679587
North Carolina,1977,5629715
North Dakota,1977,641954
Ohio,1977,10673894
Oklahoma,1977,2835186
Oregon,1977,2414369
Pennsylvania,1977,11766683
Rhode Island,1977,944788
South Carolina,1977,2971693
South Dakota,1977,679758
Tennessee,1977,4365807
Texas,1977,13093955
Utah,1977,1308799
Vermont,1977,486797
Virginia,1977,5170007
Washington,1977,3735864
West Virginia,1977,1887793
Wisconsin,1977,4564085
Wyoming,1977,408535
Alabama,1978,3802132
Alaska,1978,401436
Arizona,1978,2500632
Arkansas,1978,2216571
California,1978,22637120
Colorado,1978,2744307
Connecticut,1978,3062174
Delaware,1978,593368
District of Columbia,1978,663868
Florida,1978,9028476
Georgia,1978,5249272
Hawaii,1978,923732
Idaho,1978,903158
Illinois,1978,11327605
Indiana,1978,5395301
Iowa,1978,2876722
Kansas,1978,2301724
Kentucky,1978,3578819
Louisiana,1978,4044381
Maine,1978,1102601
Maryland,1978,4181725
Massachusetts,1978,5673897
Michigan,1978,9126485
Minnesota,1978,3955635
Mississippi,1978,2466043
Missouri,1978,4813576
Montana,1978,775523
Nebraska,1978,1538957
Nevada,1978,716196
New Hampshire,1978,885189
New Jersey,1978,7289626
New Mexico,1978,1244003
New York,1978,17540592
North Carolina,1978,5698387
North Dakota,1978,643107
Ohio,1978,10694456
Oklahoma,1978,2881052
Oregon,1978,2483365
Pennsylvania,1978,11744214
Rhode Island,1978,946295
South Carolina,1978,3022829
South Dakota,1978,679603
Tennessee,1978,4423827
Texas,1978,13394669
Utah,1978,1356137
Vermont,1978,492759
Virginia,1978,5246381
Washington,1978,3847767
West Virginia,1978,1901983
Wisconsin,1978,4579414
Wyoming,1978,427736
Alabama,1979,3836335
Alaska,1979,402753
Arizona,1979,2619796
Arkansas,1979,2243611
California,1979,23043853
Colorado,1979,2825618
Connecticut,1979,3065309
Delaware,1979,593703
District of Columbia,1979,649265
Florida,1979,9358848
Georgia,1979,5352746
Hawaii,1979,944675
Idaho,1979,924558
Illinois,1979,11311203
Indiana,1979,5421861
Iowa,1979,2872974
Kansas,1979,2315074
Kentucky,1979,3609870
Louisiana,1979,4109586
Maine,1979,1111297
Maryland,1979,4191857
Massachusetts,1979,5674248
Michigan,1979,9169608
Minnesota,1979,3986931
Mississippi,1979,2484915
Missouri,1979,4829781
Montana,1979,780556
Nebraska,1979,1541493
Nevada,1979,761763
New Hampshire,1979,902590
New Jersey,1979,7302736
New Mexico,1979,1272157
New York,1979,17445672
North Carolina,1979,5758140
North Dakota,1979,644283
Ohio,1979,10693170
Oklahoma,1979,2936942
Oregon,1979,2550693
Pennsylvania,1979,11747344
Rhode Island,1979,945089
South Carolina,1979,3067629
South Dakota,1979,678911
Tennessee,1979,4493367
Texas,1979,13779613
Utah,1979,1407541
Vermont,1979,499877
Virginia,1979,5284615
Washington,1979,3972665
West Virginia,1979,1920036
Wisconsin,1979,4611882
Wyoming,1979,448515
